Date,Open,High,Low,Close,Adj Close,Volume
2022-01-11,0.736285,0.737310,0.733990,0.736360,0.736360,0
2022-01-12,0.733460,0.734100,0.729960,0.733500,0.733500,0
2022-01-13,0.729560,0.729630,0.727300,0.729395,0.729395,0
2022-01-14,0.729240,0.731652,0.727700,0.729200,0.729200,0
2022-01-17,0.731340,0.733210,0.730514,0.731340,0.731340,0
2022-01-18,0.732708,0.736580,0.732000,0.732708,0.732708,0
2022-01-19,0.735250,0.735870,0.732700,0.735280,0.735280,0
2022-01-20,0.734780,0.735210,0.731980,0.734830,0.734830,0
2022-01-21,0.735280,0.738140,0.735100,0.735420,0.735420,0
2022-01-24,0.737740,0.743880,0.737100,0.737690,0.737690,0
2022-01-25,0.741300,0.744210,0.740710,0.741330,0.741330,0
2022-01-26,0.740170,0.741060,0.739400,0.740150,0.740150,0
2022-01-27,0.742510,0.748470,0.742510,0.742500,0.742500,0
2022-01-28,0.746910,0.748190,0.744490,0.746920,0.746920,0
2022-01-31,0.746230,0.747030,0.742900,0.743770,0.743770,0
